id,travel_time_s,events,stopping_reason,runout_m
121,14.488,96,Stopped,141.686
122,13.04,88,Stopped,156.334
123,3.133,25,Stopped,5.46
124,12.253,81,Stopped,145.697
125,12.879,85,Stopped,151.379
126,16.26,110,Stopped,157.174
127,14.275,96,Stopped,161.785
128,11.718,78,Stopped,145.544
129,15.432,101,Stopped,141.245
130,13.879,94,Stopped,145.819
131,13.563,89,Stopped,167.147
132,12.062,83,Stopped,164.219
133,11.507,77,Stopped,145.541
134,13.757,93,Stopped,153.253
135,13.816,95,Stopped,165.571
136,15.035,101,Stopped,145.554
137,14.728,100,Stopped,173.077
138,14.465,103,Stopped,140.762
139,12.199,83,Stopped,152.66
140,13.444,90,Stopped,140.301
141,16.415,111,Stopped,185.146
142,15.021,103,Stopped,159.221
143,10.208,69,Stopped,148.629
144,16.354,111,Stopped,173.526
145,11.845,78,Stopped,142.5
146,13.026,87,Stopped,155.503
147,11.185,79,Stopped,147.326
148,12.645,87,Stopped,150.522
149,13.095,88,Stopped,148.39
150,11.67,78,Stopped,137.789
151,12.433,84,Stopped,154.636
152,13.47,91,Stopped,150.075
153,3.35,25,Stopped,5.432
154,12.642,83,Stopped,149.538
155,12.547,87,Stopped,138.636
156,3.604,28,Stopped,5.526
157,13.384,89,Stopped,166.524
158,3.038,24,Stopped,5.034
159,14.041,94,Stopped,140.991
160,2.994,24,Stopped,5.38
161,11.497,78,Stopped,149.466
162,15.216,106,Stopped,179.301
163,13.915,94,Stopped,161.653
164,12.345,83,Stopped,132.039
165,13.773,95,Stopped,152.762
166,13.272,91,Stopped,162.378
167,12.914,86,Stopped,144.166
168,12.787,85,Stopped,149.817
169,13.73,95,Stopped,147.072
170,11.828,78,Stopped,144.771
171,15.835,105,Stopped,162.635
172,15.456,104,Stopped,182.27
173,14.01,94,Stopped,140.165
174,15.025,100,Stopped,183.166
175,13.311,96,Stopped,152.183
176,13.229,91,Stopped,153.084
177,11.701,79,Stopped,148.733
178,15.8,108,Stopped,163.178
179,12.121,80,Stopped,149.876
180,14.164,96,Stopped,165.275
181,13.907,93,Stopped,146.826
182,13.115,89,Stopped,141.171
183,12.371,83,Stopped,147.98
184,11.274,75,Stopped,148.001
185,13.648,93,Stopped,149.868
186,13.44,89,Stopped,144.56
187,12.103,82,Stopped,149.457
188,13.649,91,Stopped,138.387
189,13.133,91,Stopped,146.191
190,16.338,114,Stopped,154.591
191,23.462,158,Stopped,145.855
192,14.572,97,Stopped,149.367
193,17.659,117,Stopped,147.096
194,13.589,90,Stopped,153.711
195,14.96,98,Stopped,146.6
196,14.715,99,Stopped,165.881
197,11.826,80,Stopped,152.036
198,12.185,83,Stopped,153.152
199,11.983,80,Stopped,144.61
200,12.999,92,Stopped,70.504
201,10.903,78,Stopped,73.398
202,16.885,116,Stopped,125.829
203,11.762,85,Stopped,66.931
204,11.892,80,Stopped,123.142
205,11.301,77,Stopped,71.094
206,11.937,80,Stopped,119.423
207,12.01,81,Stopped,125.056
208,13.196,90,Stopped,68.569
209,12.575,85,Stopped,70.299
210,11.882,82,Stopped,128.589
211,15.327,106,Stopped,130.817
212,12.773,87,Stopped,136.538
213,16.817,112,Stopped,129.156
214,19.506,127,Stopped,115.185
215,12.11,82,Stopped,68.633
216,12.902,88,Stopped,68.391
217,17.511,120,Stopped,130.044
218,12.576,85,Stopped,124.889
219,15.492,104,Stopped,73.134
